Timestamp,Name,Vendor,Organization,Website,Previous-Submission,Email,Phone,Employer,Job-Title,Biography,Co-presenter,Co-presenter-Name(s),Multi-Session,Multi-Session-Number,"Availability [Thursday, October 13th - Session 1]","Availability [Thursday, October 13th - Session 2]","Availability [Thursday, October 13th - Session 3]","Availability [Friday, October 14th - Session 4]","Availability [Friday, October 14th - Session 5]",Session,Presentation-Title,Objectives,Presentation-Abstract,Presentation-Description,Conference-Strand,File-Upload,Newsletter,Groups - Proposals - Send Status
2007,Judy Martinez,,,,,,,National Center for School Engagement,Director,,,,,,,,,,,Session 5,"What Research Says About Parent, School, Community Partnerships","(PDSA descriptors: 3.5, 8.5.1)",This interactive workshop discusses current research regarding parent-school-community partnerships and parental involvement in Colorado. It takes a close up look at the Expelled and At-Risk Student Services evaluation of parent involvement and explores a framework that includes parents as leaders and supports community building. Materials and resources will be available. ,,unknown strands,,,
2007,Dorothea Steinke,,,,,,,,GED Math Instructor,,,,,,,,,,,Session 5,Math: Applying the Part / Whole Concept,(PDSA descriptor: 7a.3.1),"Participants will learn how the Part/Whole relationship applies to more advanced GED math problems: geometry, fractions, decimals, percents, proportions (equivalent fractions). ",,unknown strands,,,
2007,Todd Evans,,,,,,,ProLiteracy America / New Readers Press,Applied Technology Coordinator/Training Coordinator,,,,,,,,,,,Session 5,Active Learning,"(PDSA descriptors: 2.3.5, 5.6, 6.5, 6.6)","Active learning is an approach that places the learner at the center of instruction and makes that learner a partner in the learning process. ProLiteracy developed this training for the UPS project, “Increasing Intensity of Instruction in Volunteer-based Programs.” This training will give participants tools and techniques that can have a positive impact on adult learners. ",,unknown strands,,,
2007,Bonnie Vondracek,,,,,,,"Vondracek Enterprises, Inc.",Consultant,,,Susan Pittman,,,,,,,,Session 5,"Retaining and Motivating Adult Learners, Part 2","(PDSA descriptors: 2.3.4, 2.3.10, 2.3.11, 5.6, 6.5)","Throughout the country, adult education programs struggle with student retention. Unfortunately, many students are in class one day and then never appear again. This workshop focuses on how to keep students motivated, even when they struggle to make progress in their learning environment. Each participant will receive a resource guide. ",,unknown strands,,,
2007,Barbara Hillin,,,,,,,La Llave Family Resource Center,Family Literacy Instructor,,,,,,,,,,,Session 6,Motheread in Action,"(PDSA descriptors: 8.5.1, 8.6)","This research-based program is designed to help mothers create a love of reading in their children. Parents, in turn, learn to love reading themselves. This is a great tool for anyone who works with families and intergenerational literacy. ",,unknown strands,,,
2007,Connie Davis,,,,,,,Northern Colorado Literacy Resource Center,Director,,,Kat Bradley-Bennett,,,,,,,,Session 6,Best Practices in Teaching Pronunciation,(PDSA descriptor: 7e.5.7),"How and when do we best focus on pronunciation? Participants will learn several techniques for teaching pronunciation, and how teachers can integrate pronunciation into their classroom instruction and existing textbooks. They will gain knowledge and confidence as they practice some effective strategies. A new PD module on pronunciation will be introduced. ",,unknown strands,,,
2007,Stephanie Moran,,,,,,,Durango Adult Education Center,Lead GED-ABE Teacher,,,,,,,,,,,Session 6,Winning with Words: Why Vocabulary Matters and How to Integrate it into Core Curricula,"(PDSA descriptors: 7a.2.1, 7a.3.2)","ABE and GED teachers need to understand how and why vocabulary skills are crucial to reading at an independent, adult level as well as to success on the GED subtests. Learn innovative ways to bring words and their meaning into your classroom. Leave with vocabulary cards, ideas for improving students’ vocabularies, and more respect for lexicology. ",,unknown strands,,,
2007,Rebecca Orona,,,,,,,Colorado Statewide Parent Coalition,Adult Education Coordinator/Lead Trainer,,,,,,,,,,,Session 6,After Adult Education Comes Employment,"(PDSA descriptors: 2.3.17, 5.7, 6.3)","This workshop will introduce Job Search & Acquisition Skills Workshops to AEFLA and Even Start Programs. Attend this workshop and get a snap-shot of four different Employment Preparation Workshops: Self-esteem, Job Search & Application, Resume, and Interviewing. Participants will receive a CD including the power point presentations, instructions and student handouts. ",,unknown strands,,,
2007,Kathy St.John,,,,,,,ProLiteracy America,Southwest Regional Representative,,,Susan Lythgoe,,,,,,,,Session 6,ProLiteracy: What We Can Do For You!,"(PDSA descriptors: 5.5, 10.4, 10.5.4)","Participants will learn about the wide variety of resources that ProLiteracy America provides its affiliates, the adult basic education and literacy field, and the general public. ProLiteracy’s southwest regional representative and two program directors will demonstrate how ProLiteracy’s resources are invaluable to program administrators and staff, instructors, volunteers, and funders. ",,unknown strands,,,
2007,Jane Miller,,,,,,,CDE,Professional Development Coordinator,,,,,,,,,,,Session 6,Current Research Studies in Adult Education,"(PDSA descriptors: 7a.2.1, 7a.3.2, 7e.5.3)",Over two dozen research studies in ABE and adult ESL are currently underway. The presenter summarizes several studies on adult reading instruction. What classroom interventions produce improved outcomes for ABE GL 3-8 readers? What program-level practices impact the reading progress of learners? How can assistive technologies advance the literacy skills of adult readers? ,,unknown strands,,,
